DATE; Talajnedvesség 30 cm; Talajnedvesség 60 cm; Talajnedvesség 120 cm; Légnyomás; Talajhőmérséklet 0 cm; Szélirány; Levélnedvesség; Belső akkufeszültség; Besugárzás; Szélsebesség; Széllökés; Fényegység; Levegő-páratartalom; Levegő-hőmérséklet; Fagy; Külsõ akkufeszültség; Csapadék; Napelem töltőfeszültség; Talajnedvesség 90 cm
2021-01-22 00:00:00; 32,74228;  28,32466;-9999,00000; 993,31990;   2,28162; 190,14577;   0,12195;   4,24280;  30,65371;   2,75089;   8,79003;1672,53470;  79,24986;   7,48979;-9999,00000;  12,86628;   0,00000;   6,63663;  31,89497
2021-01-23 00:00:00; 32,61402;  28,31330;-9999,00000; 985,24590;   3,34629; 168,88142;   0,93750;   4,23676;  31,96113;   6,81429;  14,08214;1682,32290;  80,66302;   7,78764;-9999,00000;  12,80707;   0,00000;   6,26934;  31,77169
2021-01-24 00:00:00; 33,12170;  28,38242;-9999,00000; 983,49200;   3,21844; 344,27426;   3,41463;   4,24189;  54,92933;   4,62143;   9,65000;1675,04160;  85,27470;   4,77660;-9999,00000;  12,88016;   0,03932;   7,22034;  32,59816
2021-01-26 00:00:00; 35,15292;  29,68649;-9999,00000; 996,59470;   1,65765; 326,81158;   0,40210;   4,24512;  63,98936;   3,87097;   9,75986;1610,55550;  78,29615;   0,90709;-9999,00000;  12,98336;   0,00000;   7,58505;  39,10743
2021-01-25 00:00:00; 35,63715;  29,80618;-9999,00000; 987,09360;   2,41383; 280,06830;   3,82867;   4,24428;  65,14235;   1,78495;   5,79211;1643,13200;  90,48511;   1,43050;-9999,00000;  12,93635;   0,01599;   7,34286;  38,96242
2021-01-27 00:00:00; 34,51553;  29,48254;-9999,00000; 999,85596;   1,08723; 318,48923;   0,00000;   4,24678;  58,43416;   2,26165;   7,30824;1767,61460;  80,58892;   0,37544;-9999,00000;  13,07327;   0,00000;   7,82971;  36,14820
2021-04-13 00:00:00; 21,33435;  27,14800;-9999,00000;1002,11080;   8,48446; 279,13740;   2,41259;   4,23148;  31,76678;   5,14286;  13,47143;2195,61820;  84,54681;   4,23321;-9999,00000;  12,97057;   0,01442;   9,29874;  13,38860
2021-04-11 00:00:00; 21,77032;  27,29714;-9999,00000;1004,56610;   8,45846; 200,37106;   0,00000;   4,24750;  97,31449;   0,95018;   4,25623;2277,14940;  60,54001;  10,05845;-9999,00000;  13,11548;   0,00000;  10,74258;  11,73455
2021-04-16 00:00:00; 22,08870;  27,01482;-9999,00000;1005,64685;   7,26997; 326,45570;   0,10453;   4,24887; 133,77660;   2,22581;   6,35484;2294,84380;  71,31792;   4,86785;-9999,00000;  13,27021;   0,00000;  11,35082;  12,74692
2021-04-14 00:00:00; 21,81249;  26,98102;-9999,00000;1003,17035;   7,44610; 332,64154;   3,69338;   4,24023;  91,95036;   3,81362;  10,00000;2224,76400;  88,02464;   3,85638;-9999,00000;  13,17120;   0,01062;  10,51266;  14,83748
2021-04-15 00:00:00; 22,21722;  27,01566;-9999,00000;1005,45030;   7,42092; 311,64423;   1,69580;   4,24746; 156,57802;   3,39286;   8,43572;2287,88550;  78,45403;   3,99753;-9999,00000;  13,20728;   0,00000;  11,16363;  13,92684
2021-04-25 00:00:00; 28,13920;  27,45950;-9999,00000;1002,50350;  12,12352; 193,40384;   0,00000;   4,24930; 230,91550;   2,37234;   7,57447;2326,86820;  53,65910;  12,22000;-9999,00000;  13,14235;   0,00000;  11,67350;  11,07209
2021-04-26 00:00:00; 27,44210;  27,37389;-9999,00000;1002,79675;  12,06415;  67,95764;   0,79861;   4,24933; 142,08481;   1,95374;   6,03559;2363,94100;  60,77089;   9,41162;-9999,00000;  13,17939;   0,00151;  11,30578;  10,72238
2021-04-27 00:00:00; 26,50853;  27,37178;-9999,00000; 997,63776;  11,82290; 151,52501;   0,67708;   4,24463; 105,61620;   0,77224;   3,25979;2356,92360;  67,67939;  10,10352;-9999,00000;  13,12476;   0,00000;  10,72088;  14,33998
2021-04-29 00:00:00; 25,65695;  27,25393;-9999,00000; 994,92030;  12,97616; 197,73756;   0,25952;   4,24368; 189,21053;   1,83688;   7,20922;2402,50000;  79,58392;  14,44245;-9999,00000;  13,02160;   0,00151;  10,91274;  17,37574
2021-04-10 00:00:00; 22,00714;  27,37136;-9999,00000;1005,09485;   8,26690; 239,95990;   0,00000;   4,24793; 190,47704;   2,07829;   6,89324;2263,57300;  56,10654;   9,57279;-9999,00000;  13,15165;   0,00000;  11,11234;  11,38593
2021-04-12 00:00:00; 21,52107;  27,25393;-9999,00000;1002,06195;   9,31586; 168,64879;   0,81315;   4,24794; 142,53522;   1,88968;   6,18505;2264,21530;  61,97671;  12,84912;-9999,00000;  13,09644;   0,00000;  10,69116;  13,03475
2021-04-01 00:00:00; 26,70781;  27,85901;-9999,00000;1001,36536;  11,14562; 274,88162;   1,41869;   4,24763; 198,61403;   0,87234;   4,19504;2177,94100;  67,88764;  14,49790;-9999,00000;  13,05747;   0,00000;  10,57903;  27,87907
2021-04-28 00:00:00; 25,76064;  27,33319;-9999,00000; 995,98860;  11,38731;  84,35259;   1,94444;   4,23663;  48,48056;   1,84286;   4,97143;2272,13900;  83,42819;  10,17852;-9999,00000;  13,06602;   0,00452;   9,78630;  17,74908
2021-04-02 00:00:00; 25,63266;  27,84694;-9999,00000; 996,38400;  11,55719; 321,91214;   0,24221;   4,24769; 152,57042;   2,92553;   8,22695;2167,60420;  57,64586;  14,69825;-9999,00000;  13,04673;   0,00000;  10,39496;  28,16255
2021-04-23 00:00:00; 30,42727;  27,49081;-9999,00000;1007,32780;  11,90564; 338,72232;   0,01730;   4,24993; 261,70773;   3,69149;  10,25887;2356,53800;  56,61400;  10,46796;-9999,00000;  13,17804;   0,00000;  11,85871;  13,09216
2021-03-31 00:00:00; 28,15214;  27,96415;-9999,00000;1010,11850;  10,58071;  80,03803;   0,00000;   4,24603; 162,48239;   0,78292;   3,19573;2154,99320;  65,34029;  14,19088;-9999,00000;  13,04106;   0,00000;  10,12063;  28,20975
2021-04-24 00:00:00; 29,43006;  27,49165;-9999,00000;1007,84033;  11,66679;  24,29823;   0,67944;   4,24920; 264,73500;   1,61071;   5,26429;2378,37840;  54,97425;   9,84947;-9999,00000;  13,18042;   0,00000;  11,79543;  12,30793
2021-04-08 00:00:00; 22,65997;  27,52416;-9999,00000;1007,59280;   6,29786; 316,05905;   0,03497;   4,24772; 156,06761;   2,74910;   7,24014;2229,59380;  67,52663;   2,16596;-9999,00000;  13,24056;   0,00000;  10,98496;  21,73934
